ID,Rider,Team,Kls,Me,Scr,Bon,Sum,St,Avg,I,II,III,IV,D,T,M,W,U,Year
59,RobertChmiel,RYB,Nie,9,15,4,19,21,0.905,2,2,5,12,0,0,0,0,0,2017
70,Robert Kasprzak,LES,Tak,13,31,3,34,42,0.81,3,8,6,23,0,0,1,1,0,2007
48,Robert Kasprzak,LES,Nie,12,25,6,31,26,1.192,2,6,7,11,0,0,0,0,0,2008
21,RobertKo?ciecha,TOR,Tak,18,122,32,154,83,1.855,15,25,27,13,1,0,0,1,1,2008
44,RobertKo?ciecha,TOR,Tak,17,74,15,89,71,1.254,7,16,21,22,1,1,0,3,0,2009
41,RobertKo?ciecha,BYD,Tak,16,77,15,92,68,1.353,8,15,23,15,5,1,0,1,0,2010
40,RobertKo?ciecha,BYD,Tak,17,103,14,117,73,1.603,13,23,18,14,1,0,0,4,0,2012
57,RobertKo?ciecha,BYD,Tak,16,75,9,84,62,1.355,11,12,18,20,0,0,0,1,0,2013
24,RobertKosciecha,TOR,Nie,8,65,5,70,40,1.75,9,14,10,5,1,0,0,0,1,2007
82,RobertKsiezak,TOR,Nie,2,1,0,1,2,0.5,0,0,1,1,0,0,0,0,0,2008
47,RobertLambert,LUB,Tak,12,47,7,54,44,1.227,4,12,11,17,0,0,0,0,0,2019
22,RobertLambert,RYB,Tak,14,142,5,147,80,1.838,24,28,14,11,1,0,0,2,0,2020
9,RobertLambert,TOR,Tak,14,137,13,150,72,2.083,23,26,16,7,0,0,0,0,0,2021
9,RobertLambert,TOR,Tak,20,245,21,266,125,2.128,43,44,28,10,0,0,0,0,0,2022
19,RobertLambert,TOR,Tak,20,179,15,194,102,1.902,33,27,26,13,2,0,0,1,0,2023
4,RobertLambert,TOR,Tak,20,232,14,246,108,2.278,48,35,18,4,0,1,1,1,0,2024
57,RobertMi?kowiak,LES,Nie,10,27,7,34,34,1,2,5,11,16,0,0,0,0,0,2007
38,RobinTornqvist,TOR,Nie,1,2,1,3,2,1.5,0,0,2,0,0,0,0,0,0,2007
77,RomanLakhbaum,RYB,Nie,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2017
36,RomanLakhbaum,GRU,Nie,10,4,2,6,4,1.5,0,2,0,2,0,0,0,0,0,2019
58,RomanLakhbaum,GRU,Nie,14,9,3,12,18,0.667,0,3,3,12,0,0,0,0,0,2020
35,RomanLakhbaum,GRU,Nie,11,18,4,22,14,1.571,2,4,4,4,0,0,0,0,0,2021
44,RomanPovazhny,RZE,Tak,8,36,6,42,34,1.235,4,7,10,10,3,0,0,0,0,2008
69,RorySchlein,WRO,Nie,5,14,2,16,21,0.762,1,4,3,12,0,0,0,1,0,2008
52,RorySchlein,RYB,Nie,2,7,1,8,7,1.143,1,1,2,1,0,0,0,1,1,2017
7,RuneHolta,TAR,Tak,16,182,9,191,87,2.195,39,24,17,5,0,1,1,0,0,2007
16,RuneHolta,GOR,Tak,15,152,7,159,82,1.939,28,25,18,8,1,0,0,2,0,2008
17,RuneHolta,GOR,Tak,16,154,8,162,84,1.929,28,25,20,6,4,0,0,1,0,2009
7,RuneHolta,CZE,Tak,15,173,6,179,84,2.131,34,29,13,3,1,0,0,4,0,2010
20,RuneHolta,TOR,Tak,17,136,11,147,83,1.771,28,15,22,12,1,0,0,5,0,2011
41,RuneHolta,ZIE,Tak,19,122,15,137,87,1.575,16,26,22,20,1,0,0,2,0,2012
26,RuneHolta,CZE,Tak,22,192,23,215,117,1.838,29,40,25,16,2,0,2,2,1,2013
38,RuneHolta,CZE,Tak,11,71,12,83,52,1.596,7,15,20,6,4,0,0,0,0,2014
27,RuneHolta,RYB,Tak,14,102,12,114,65,1.754,16,15,24,7,1,0,0,1,1,2016
13,RuneHolta,CZE,Tak,14,146,5,151,75,2.013,31,17,19,5,2,0,0,1,0,2017
27,RuneHolta,TOR,Tak,11,77,5,82,49,1.673,11,17,10,4,5,0,0,2,0,2018
40,RuneHolta,TOR,Tak,9,39,3,42,31,1.355,3,10,10,7,1,0,0,0,0,2019
29,RuneHolta,CZE,Tak,13,69,14,83,52,1.596,8,15,15,12,1,0,0,1,0,2020
5,RyanSullivan,TOR,Tak,19,207,15,222,100,2.22,43,29,20,6,1,0,0,1,0,2007
8,RyanSullivan,TOR,Tak,20,195,17,212,97,2.186,40,27,21,8,1,0,0,0,0,2008
11,RyanSullivan,TOR,Tak,20,199,17,216,103,2.097,43,23,24,12,0,1,0,0,0,2009
8,RyanSullivan,TOR,Tak,20,204,10,214,102,2.098,38,36,18,7,0,1,0,1,1,2010
5,RyanSullivan,TOR,Tak,19,213,12,225,98,2.296,48,28,13,7,2,0,0,0,0,2011
9,RyanSullivan,TOR,Tak,22,232,9,241,112,2.152,53,22,29,7,0,0,0,1,0,2012
68,RyanSullivan,TOR,Nie,4,13,3,16,16,1,1,3,4,7,1,0,0,0,0,2013
45,S?awomirDrabik,CZE,Tak,16,87,10,97,71,1.366,13,17,14,21,6,0,0,0,0,2007
40,S?awomirDrabik,TAR,Tak,10,51,4,55,41,1.341,7,9,12,9,3,0,1,0,0,2008
56,S?awomirDrabik,CZE,Tak,17,63,7,70,67,1.045,10,7,19,31,0,0,0,0,0,2009
63,S?awomirDrabik,CZE,Tak,11,27,4,31,36,0.861,4,5,5,19,2,0,0,1,0,2010
63,S?awomirMusielak,LES,Nie,10,19,0,19,23,0.826,1,5,6,10,0,0,0,0,1,2009
66,S?awomirMusielak,LES,Tak,20,30,3,33,41,0.805,2,7,10,21,0,0,0,1,0,2010
65,S?awomirMusielak,LES,Nie,7,11,1,12,20,0.6,1,3,2,10,0,1,2,1,0,2011
17,ScottNicholls,RZE,Tak,15,141,15,156,80,1.95,24,24,21,7,2,2,0,0,0,2007
27,ScottNicholls,RZE,Tak,14,103,11,114,65,1.754,17,16,20,10,1,0,0,1,0,2008
37,ScottNicholls,WRO,Tak,13,65,14,79,58,1.362,5,13,24,11,3,1,0,0,1,2009
65,SebastianAlden,ZIE,Nie,2,6,1,7,8,0.875,0,2,2,3,0,0,0,1,0,2007
66,SebastianNied?wied?,ZIE,Nie,12,17,4,21,35,0.6,1,2,10,21,1,0,0,0,0,2016
63,SebastianNied?wied?,ZIE,Nie,7,11,2,13,18,0.722,2,1,3,9,2,0,0,0,1,2017
51,SebastianNied?wied?,ZIE,Tak,10,28,3,31,31,1,4,5,6,14,0,0,0,1,1,2018
71,SebastianNied?wied?,ZIE,Nie,6,0,0,0,2,0,0,0,0,1,0,0,0,1,0,2019
